#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU150	0	0	1	1	0	0	0	0
OTU151	0	0	1	0	0	0	0	0
OTU152	0	0	1	0	1	0	0	0
OTU153	1	0	0	0	1	0	0	0
OTU154	0	0	0	1	0	0	0	1
OTU155	0	0	1	0	0	0	1	1
OTU156	0	0	0	0	0	1	1	0
OTU157	0	0	1	1	0	1	0	1
OTU158	0	0	1	1	0	0	0	0
OTU159	1	0	0	0	1	1	0	0
OTU160	0	0	1	0	0	0	0	0
OTU161	1	0	0	0	1	0	0	0
OTU162	1	0	1	0	0	0	0	0
OTU163	0	0	1	1	0	0	0	1
OTU164	1	0	0	1	1	0	0	1
OTU165	0	0	1	1	0	0	0	0
OTU166	0	0	0	0	1	0	0	0
OTU167	0	1	1	1	1	0	0	0
OTU168	1	0	1	0	1	0	1	0
OTU169	0	0	0	0	1	0	0	0
OTU170	1	0	0	0	0	1	0	0
OTU171	0	0	1	1	0	0	0	0
OTU172	0	0	0	0	0	1	0	0
OTU173	0	0	1	0	0	0	0	0
OTU174	0	0	1	1	0	0	0	0
OTU175	0	0	1	1	0	0	1	0
OTU176	0	0	0	0	0	1	0	0
OTU178	1	0	0	0	1	0	0	0
OTU179	0	0	0	0	1	0	0	0
OTU180	0	0	1	0	0	0	0	0
OTU181	1	0	0	1	1	0	0	0
OTU182	0	0	1	0	0	0	0	0
OTU183	0	0	0	0	0	0	1	0
OTU184	0	0	0	1	0	0	0	1
OTU185	0	0	0	1	0	0	0	0
OTU186	0	0	0	0	1	0	0	0
OTU187	1	0	0	0	1	0	0	0
OTU188	0	0	0	0	1	0	0	0
OTU189	0	0	0	0	0	0	1	0
OTU190	0	0	0	0	1	0	0	0
OTU191	0	0	1	0	1	0	0	0
OTU192	1	0	1	0	1	0	0	0
OTU193	0	0	0	0	1	0	0	0
OTU194	0	0	1	1	0	0	0	0
OTU195	0	0	0	0	1	0	0	0
OTU196	0	0	0	0	1	0	0	0
OTU198	0	0	1	1	0	0	0	0
OTU199	0	0	1	0	0	0	0	0
OTU200	0	0	0	0	1	0	0	0
OTU201	0	0	1	1	1	0	0	1
OTU202	0	0	0	1	0	0	0	1
OTU203	0	0	0	0	1	0	0	0
OTU204	1	0	0	0	1	0	0	0
OTU205	0	0	0	0	1	0	0	0
OTU206	0	0	1	1	0	1	0	0
OTU207	0	0	0	0	1	0	0	0
OTU208	1	0	0	0	1	0	1	0
OTU209	0	0	1	0	0	0	0	0
OTU210	0	0	0	0	1	0	0	0
OTU211	0	0	1	1	0	0	0	0
OTU213	0	0	0	1	0	0	0	0
OTU214	0	0	0	0	1	0	0	0
OTU215	0	0	0	0	1	0	0	0
OTU216	0	0	1	1	0	0	0	0
OTU217	1	0	0	0	1	1	0	0
OTU218	1	1	1	0	0	0	1	0
OTU219	0	0	1	0	1	0	1	0
OTU220	0	0	1	0	0	0	0	0
OTU221	0	0	1	1	1	0	0	1
OTU222	0	0	1	0	0	0	0	0
OTU223	0	0	1	1	0	0	1	1
OTU224	0	0	1	0	0	0	1	0
OTU225	0	0	0	1	0	0	0	0
OTU226	0	0	0	0	0	0	1	1
OTU227	1	0	0	0	1	1	0	0
OTU228	0	0	0	0	1	0	0	0
OTU229	0	0	1	1	0	1	0	1
OTU230	1	0	0	1	0	0	0	0
OTU231	0	0	0	0	0	1	0	1
OTU232	0	0	1	1	0	0	0	0
OTU233	0	0	0	0	1	0	0	0
OTU234	0	0	1	0	1	1	0	0
OTU235	1	0	0	0	1	0	0	0
OTU236	0	0	1	0	1	0	0	0
OTU238	0	0	0	1	0	0	0	0
OTU240	0	0	1	0	0	0	0	0
OTU241	1	0	0	0	1	0	0	0
OTU242	0	0	1	1	0	0	0	0
OTU243	0	0	1	0	1	0	0	0
OTU244	0	0	0	0	1	0	0	0
OTU245	0	0	0	0	0	0	1	1
OTU246	0	0	0	1	1	0	0	1
OTU247	0	0	0	1	0	0	0	1
OTU248	0	0	1	0	1	0	0	0
OTU249	0	0	0	1	0	0	0	0
OTU250	1	0	1	0	1	1	0	0
OTU251	0	0	1	1	0	1	1	1
OTU252	0	0	1	0	0	0	0	0
OTU253	0	0	1	1	0	0	0	0
OTU254	0	0	0	1	0	0	0	0
OTU255	0	0	1	0	1	0	1	0
OTU256	0	0	0	1	0	0	0	0
OTU257	0	0	1	1	0	0	0	0
OTU258	0	0	0	1	0	1	0	1
OTU259	0	0	0	0	1	1	0	0
OTU260	0	0	0	1	0	0	0	0
OTU261	1	0	1	1	1	1	0	0
OTU263	0	0	0	0	1	0	0	0
OTU264	0	0	1	0	0	0	0	0
OTU265	0	0	0	1	0	0	0	0
OTU266	1	0	1	0	1	0	0	0
OTU267	1	0	1	1	1	0	0	0
OTU269	0	0	0	1	0	0	0	0
OTU270	0	0	1	1	0	0	0	0
OTU271	0	0	1	1	0	0	0	0
OTU273	0	0	1	1	0	0	0	0
OTU274	0	0	1	0	0	0	0	0
OTU275	0	0	0	0	1	0	0	0
OTU276	0	0	0	0	1	0	0	0
