#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU145	0	0	11	0	50	0	0	0
OTU146	0	1299	0	0	30	138	0	0
OTU147	0	0	0	0	64	0	0	0
OTU148	0	0	0	0	20	73	0	0
OTU149	0	0	78	0	0	0	0	0
OTU150	0	0	140	38	0	0	0	0
OTU151	0	0	78	0	0	0	0	0
OTU152	0	0	34	0	50	0	0	0
OTU153	9	0	0	0	50	0	0	0
OTU154	0	0	0	61	0	0	0	53
OTU155	0	0	84	0	0	0	377	35
OTU156	0	0	0	0	0	8	1195	0
OTU157	0	0	22	9	0	16	0	123
OTU158	0	0	17	52	0	0	0	0
OTU159	71	0	0	0	74	41	0	0
OTU160	0	0	95	0	0	0	0	0
OTU161	9	0	0	0	40	0	0	0
OTU162	62	0	28	0	0	0	0	0
OTU163	0	0	62	66	0	0	0	18
OTU164	26	0	0	9	34	0	0	18
OTU165	0	0	62	9	0	0	0	0
OTU166	0	0	0	0	54	0	0	0
OTU167	0	1299	28	42	34	0	0	0
OTU168	79	0	22	0	151	0	63	0
OTU169	0	0	0	0	44	0	0	0
OTU170	124	0	0	0	0	24	0	0
OTU171	0	0	73	9	0	0	0	0
OTU172	0	0	0	0	0	81	0	0
OTU173	0	0	84	0	0	0	0	0
OTU174	0	0	6	52	0	0	0	0
OTU175	0	0	90	5	0	0	692	0
OTU176	0	0	0	0	0	81	0	0
OTU178	26	0	0	0	24	0	0	0
OTU179	0	0	0	0	37	0	0	0
OTU180	0	0	56	0	0	0	0	0
OTU181	35	0	0	9	34	0	0	0
OTU182	0	0	62	0	0	0	0	0
OTU183	0	0	0	0	0	0	629	0
OTU184	0	0	0	94	0	0	0	35
OTU185	0	0	0	80	0	0	0	0
OTU186	0	0	0	0	37	0	0	0
OTU187	88	0	0	0	17	0	0	0
OTU188	0	0	0	0	34	0	0	0
OTU189	0	0	0	0	0	0	1509	0
OTU190	0	0	0	0	50	0	0	0
OTU191	0	0	17	0	34	0	0	0
OTU192	26	0	11	0	30	0	0	0
OTU193	0	0	0	0	34	0	0	0
OTU194	0	0	101	9	0	0	0	0
OTU195	0	0	0	0	27	0	0	0
OTU196	0	0	0	0	27	0	0	0
OTU198	0	0	17	38	0	0	0	0
OTU199	0	0	56	0	0	0	0	0
OTU200	0	0	0	0	34	0	0	0
OTU201	0	0	34	24	17	0	0	18
OTU202	0	0	0	6329	0	0	0	35
OTU203	0	0	0	0	30	0	0	0
OTU204	9	0	0	0	54	0	0	0
OTU205	0	0	0	0	34	0	0	0
OTU206	0	0	6	33	0	8	0	0
OTU207	0	0	0	0	24	0	0	0
OTU208	88	0	0	0	7	0	63	0
OTU209	0	0	39	0	0	0	0	0
OTU210	0	0	0	0	30	0	0	0
OTU211	0	0	39	5	0	0	0	0
OTU213	0	0	0	76	0	0	0	0
OTU214	0	0	0	0	27	0	0	0
OTU215	0	0	0	0	27	0	0	0
OTU216	0	0	11	47	0	0	0	0
OTU217	44	0	0	0	30	16	0	0
OTU218	18	2597	17	0	0	0	63	0
OTU219	0	0	90	0	7	0	63	0
OTU220	0	0	34	0	0	0	0	0
OTU221	0	0	6	5	27	0	0	18
OTU222	0	0	45	0	0	0	0	0
OTU223	0	0	17	19	0	0	377	159
OTU224	0	0	17	0	0	0	377	0
OTU225	0	0	0	42	0	0	0	0
OTU226	0	0	0	0	0	0	126	106
OTU227	124	0	0	0	17	8	0	0
OTU228	0	0	0	0	40	0	0	0
OTU229	0	0	6	5	0	32	0	35
