#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil	Taxonomy
OTU129	1	0	23	2	0	0	0	2	GS|99.6|UDB0525542|SH1523069.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Helicodendron
OTU13	0	1	1	1908	0	2	0	42	GS|100.0|MT626049|SH1507033.08FU;k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor racemosus
OTU130	33	0	0	0	5	0	0	0	GS|99.7|HM485408|SH1648384.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber,s:Tuber beyerlei
OTU131	0	0	9	26	0	0	0	0	GS|99.6|MF230408|SH1512931.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe
OTU132	1	0	0	0	18	0	4	0	GS|98.0|UDB0548564|SH1186760.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces
OTU133	0	0	0	0	0	0	0	27	GS|100.0|MH128161|SH1148079.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe
OTU134	2	0	0	0	29	2	0	0	SS|0.9100|UDB0764485|SH2715499.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae,g:Serendipita
OTU135	11	0	16	0	0	0	0	0	GS|99.5|JX317979|SH2702870.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta
OTU136	0	0	0	21	0	0	0	2	GS|97.0|UDB0624102|SH2617717.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pezizaceae
OTU137	0	0	21	0	0	0	0	0	SS|0.9800|UDB0358160|SH3322825.08FU;k:Fungi,p:Ascomycota
OTU138	1	0	18	3	1	0	0	1	GS|100.0|UDB0280428|SH1615609.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,f:Chaetomiaceae,g:Humicola
OTU139	0	0	14	0	13	0	0	0	SS|1.0000|UDB0469774|SH2729710.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
OTU14	163	0	754	13	241	3	65	2	SS|1.0000|KT751077|SH1160295.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
OTU140	7	0	0	0	54	0	3	0	GS|97.7|UDB0748431|SH2728691.08FU;k:Fungi
OTU141	4	0	23	2	0	0	0	2	GS|98.7|KT581650|SH1505518.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta
OTU142	0	0	7	10	0	0	0	0	GS|100.0|JQ393104|SH1564293.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae,g:Pseudotomentella
OTU143	39	0	13	1	37	0	1	0	GS|97.7|JX042775|SH1182656.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU144	1	0	0	3	11	0	0	0	GS|0.0|None;No hit
OTU145	0	0	2	0	15	0	0	0	SS|0.9100|HQ021964|SH1247338.08FU;k:Fungi,p:Basidiomycota
OTU146	0	1	0	0	9	17	0	0	SS|0.9900|UDB0526383|SH1611205.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavulinopsis
OTU147	0	0	0	0	19	0	0	0	GS|97.9|KF617493|SH1571494.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces
OTU148	0	0	0	0	6	9	0	0	SS|0.9200|UDB0458879|SH1545126.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Ramariopsis
OTU149	0	0	14	0	0	0	0	0	GS|0.0|None;No hit
OTU15	143	0	1	0	2319	1	0	0	SS|0.9500|UDB0514499|SH2615397.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Lecanorales
OTU150	0	0	25	8	0	0	0	0	GS|100.0|UDB0409817|SH1564440.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Myxotrichaceae,g:Oidiodendron
OTU151	0	0	14	0	0	0	0	0	GS|98.5|UDB058400|SH1569597.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae
OTU152	0	0	6	0	15	0	0	0	SS|0.8400|JX042774|SH1160120.08FU;k:Fungi,p:Glomeromycota
OTU153	1	0	0	0	15	0	0	0	SS|0.9400|KP889550|SH1157657.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae
OTU154	0	0	0	13	0	0	0	3	GS|100.0|MT561425|SH1533725.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium,s:Penicillium arenicola
OTU155	0	0	15	0	0	0	6	2	GS|99.7|MN218801|SH1649124.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Aspergillus,s:Aspergillus inflatus
OTU156	0	0	0	1	0	1	19	0	GS|100.0|UDB0124950|SH2726169.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Sclerococcales
OTU157	0	0	4	2	0	2	0	7	SS|0.9200|MN429199|SH2595286.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Tubeufiales,f:Wiesneriomycetaceae,g:Wiesneriomyces,s:Wiesneriomyces laurinus
OTU158	0	0	3	11	0	0	0	0	GS|99.1|JQ420957|SH1577290.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae,g:Serendipita
OTU159	8	0	0	0	22	5	0	0	GSL|100.0|MT453286|SH1648785.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Helotiaceae,g:Tetracladium
OTU16	211	2	133	1	446	1	35	0	SS|1.0000|UDB058400|SH1569597.08FU;k:Fungi
OTU160	0	0	17	0	0	0	0	0	SS|0.9900|KC007308|SH1529677.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
